question_id,set_id,type,prompt_en,prompt_ja,audio_file,image_files,choices_text,answer_index,script_en,script_ja
t5_t001_q001_001,n5_t001_q001,q_type_8_matching,,,assets/quiz/audio/demonstrative/kore_sore_are_dore.mp3,assets/quiz/images/demonstrative/kore_sore_are_dore.png,これ  kore=This one (near me)|それ  sore=That one (near you)|あれ  are=That one (over there - far from both of us)|どれ  dore=Which one?,,kore[br]sore[br]are[br]dore,これ[br]それ[br]あれ[br]どれ
t5_t001_q001_002,n5_t001_q001,q_type_6_input,,,assets/quiz/audio/demonstrative/kore.mp3,assets/quiz/images/demonstrative/kore_sore_are_dore.png,これ|kore,,kore[br]This one (near me),これ
t5_t001_q001_003,n5_t001_q001,q_type_6_input,,,assets/quiz/audio/demonstrative/sore.mp3,assets/quiz/images/demonstrative/kore_sore_are_dore.png,それ|sore,,sore[br]That one (near you),それ
t5_t001_q001_004,n5_t001_q001,q_type_6_input,,,assets/quiz/audio/demonstrative/are.mp3,assets/quiz/images/demonstrative/kore_sore_are_dore.png,あれ|are,,are[br]That one over there,あれ
t5_t001_q001_005,n5_t001_q001,q_type_6_input,,,assets/quiz/audio/demonstrative/dore.mp3,assets/quiz/images/demonstrative/kore_sore_are_dore.png,どれ|dore,,dore[br]Which one?,どれ
t5_t001_q001_006,n5_t001_q001,q_type_8_matching,,,assets/quiz/audio/demonstrative/kore_sore_are_dore.mp3,assets/quiz/images/demonstrative/kore_sore_are_dore.png,これ=kore|それ=sore|あれ=are|どれ=dore,,kore[br]sore[br]are[br]dore,これ[br]それ[br]あれ[br]どれ
t5_t001_q001_007,n5_t001_q001,q_type_6_input,"A: Kore?[br]B: Un, ____.",A: これ？[br]B: うん、____。,assets/quiz/audio/demonstrative/kore_sore_yes.mp3,assets/quiz/images/demonstrative/kore_sore_yes.png,,,"A: Kore?[br]B: Un, sore.",A: これ？[br]B: うん、それ。
t5_t001_q001_008,n5_t001_q001,q_type_6_input,"A: Sore?[br]B: Un, ____.",A: それ？[br]B: うん、____。,assets/quiz/audio/demonstrative/sore_kore_yes.mp3,assets/quiz/images/demonstrative/sore_kore_yes.png,,,"A: Sore?[br]B: Un, kore.",A: それ？[br]B: うん、これ。
t5_t001_q001_009,n5_t001_q001,q_type_6_input,"A: Kore?[br]B: Uun, ____.",A: これ？[br]B: ううん、____。,assets/quiz/audio/demonstrative/kore_are_no.mp3,assets/quiz/images/demonstrative/kore_are_no.png,,,"A: Kore?[br]B: Uun, are.",A: これ？[br]B: ううん、あれ。
t5_t001_q001_010,n5_t001_q001,q_type_6_input,A: ____?[br]B: Kore.,A: ____？[br]B: これ。,assets/quiz/audio/demonstrative/dore_kore.mp3,assets/quiz/images/demonstrative/dore_kore.png,,,A: Dore?[br]B: Kore.,A: どれ？[br]B: これ。

